fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
food_type.vegetable,8,40,,tomato,西红柿,xīhóngshì,
food_type.vegetable,33,50,,corn,玉米,yùmǐ,
food_type.fruit,6,10,,apple,苹果,píngguǒ,
food_type.fruit,22,30,,banana,香蕉,xiāngjiāo,
food_type.fruit,33,48,,dragon fruit,火龙果,huǒlóng guǒ,
food_type.fruit,33,54,,blackberry,黑莓,hēiméi,
food_type.fruit,33,60,,blueberry,蓝莓,lánméi,
food_type.fruit,33,70,,cherry,樱桃,yīngtáo,
food_type.fruit,33,40,,grape,葡萄,pútáo,
food_type.fruit,33,70,,lemon,柠檬,níngméng,
food_type.fruit,33,42,,mango,芒果,mángguǒ,
food_type.fruit,33,42,,orange,橙子,chéngzi,
food_type.fruit,33,50,,peach,桃,táo,
food_type.fruit,33,18,,pear,李,lǐ,
food_type.fruit,33,70,,pineapple,菠萝,bōluó,
food_type.fruit,33,60,,strawberry,草莓,cǎoméi,
food_type.fruit,33,20,,watermelon,西瓜,xīguā,
food_type.vegetable,8,50,,potato,土豆,tǔdòu,
food_type.vegetable,8,206,,ginger,生姜,shēngjiāng,
food_type.vegetable,8,206,,garlic,大蒜,dàsuàn,
food_type.vegetable,8,206,,broccoli,西兰花,xī lánhuā,
food_type.vegetable,8,30,,cucumber,黄瓜,huángguā,
food_type.vegetable,8,200,,mushroom,蘑菇,mógū,
food_type.vegetable,8,60,,green pepper,请教,qǐngjiào,
food_type.vegetable,8,242,,radish,萝卜,luóbo,
food_type.vegetable,8,18,,cabbage,白菜,báicài,
food_type.vegetable,8,48,,spinach,菠菜,bōcài,
food_type.vegetable,8,30,,pumpkin,南瓜,nánguā,
food_type.meat,8,72,,chicken wing,鸡翅膀,jī chìbǎng,
food_type.meat,8,12,,hot dog,热狗,règǒu,
food_type.fruit,33,42,,avocado,牛油果,niúyóuguǒ,
food_type.flour food,33,20,,noodles,面条,miàntiáo,
food_type.flour food,33,40,,dumplings,饺子,jiǎozi,
food_type.flour food,33,40,,stuffed buns,包子,bāozi,
food_type.flour food,33,50,,steamed bread,馒头,mántou,
food_type.flour food,33,42,,sesame seed cake,烧饼,shāobǐng,
food_type.flour food,33,36,,fried bread steak,油条,yóutiáo,
food_type.flour food,33,30,,cake,蛋糕,dàngāo,
food_type.vegetable,8,200,,bamboo shoot,笋,sǔn,
food_type.vegetable,8,200,,scallion,葱,cōng,
food_type.vegetable,8,200,,eggplant,茄子,qiézi,
