fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
gender.female,5,10,,mother (informal),妈妈,māmā,
gender.female,5,40,,mother (formal),母亲,mǔqīn,
gender.male,5,10,,father (informal),爸爸,bàba,
gender.male,5,40,,father (formal),父亲,fùqīn,
gender.female,5,20,,older sister,姐姐,jiějiě,
gender.female,5,20,,younger sister,妹妹,mèimei,
gender.male,5,20,,older brother,哥哥,gēgē,
gender.male,5,20,,younger brother,弟弟,dìdì,
gender.male,5,10,,son,儿子,érzi,
gender.female,5,10,,daughter,女儿,nǚ'ér,
gender.female,5,50,,wife(casual),老婆,lǎopó,
gender.female,5,20,,wife(formal),妻子,qīzi,
gender.male,5,18,,husband(casual),老公,lǎogōng,
gender.male,5,20,,husband(formal),丈夫,zhàngfū,
